area,date,floor,link,orientation,pos,style,tag,title,total_price,unit_price,zx_type
94.6㎡,2006年建,高层(共7层),/sale/501476075?insource=sale_list&top=11,东南,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满两年,柏丽广场 3室2厅94.6m²普通装修,66,6977元/㎡,简装
126㎡,2000年-2014年建,中层(共7层),/sale/500353588?insource=sale_list&top=12,南,三乡-金涌大道-,3室2厅,中山市三乡镇光后中心小学/满五唯一,雅豪苑 物业管理完善，房型好，入住率高,96,7619元/㎡,简装
93.57㎡,2013年建,高层(共6层),/sale/501304472?insource=sale_list&top=13,东北,三乡-三乡-,3室2厅,中山市三乡镇新圩小学/满五年/房本在手,金涌美地 普通装修 !3室2厅93.57m² 红本在手,83,8870元/㎡,简装
95㎡,1999年-2014年建,高层(共7层),/sale/100574588?insource=sale_list&top=14,东南,三乡-金涌大道-,4室2厅,中山市三乡镇白石环小学/满五唯一/房本在手,"吉雅花园 拎包入住！精装3室1厅95m²,红本在手！",85,8947元/㎡,简装
113㎡,2003年-2010年建,低层(共6层),/sale/502855083?insource=sale_list&top=15,北,三乡-小琅环路-,3室1厅,中山市三乡镇载德小学/随时看房/满两年,绿盈轩 绿盈轩 3室1厅113m²普通装修,80,7080元/㎡,简装
92.6㎡,,中层(共6层),/sale/500068683?insource=sale_list&top=16,东,三乡-三乡-,3室2厅,中山市三乡镇光后中心小学/随时看房/满五年,圩仔正街 3室2厅92.6m²普通装修,43,4644元/㎡,简装
111.39㎡,1996年-2016年建,中层(共6层),/sale/500445486?insource=sale_list&top=17,北,三乡-雅居乐-,3室2厅,中山市三乡镇光后中心小学/随时看房/满五唯一,东城花园 满五年高档小区 格局方方正正,95,8529元/㎡,简装
114.51㎡,2004年建,高层(共6层),/sale/502389865?insource=sale_list&top=18,东,三乡-三乡-,3室2厅,中山市三乡镇光后中心小学/满五年/房本在手,"供销新村 光后学校旁,近君里学校.3房急售",48,4192元/㎡,简装
104㎡,1999年-2014年建,高层(共7层),/sale/500066413?insource=sale_list&top=19,东北,三乡-金涌大道-,3室2厅,中山市三乡镇白石环小学/满两年/房本在手,吉雅花园 3室2厅104m²精装修,60,5769元/㎡,简装
94㎡,1991年-2020年建,低层(共7层),/sale/100587122?insource=sale_list&top=20,南,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满五唯一/房本在手,富丽苑 3室2厅1厨2卫 94.0m² ,62,6596元/㎡,简装
111.15㎡,1998年-2016年建,高层(共7层),/sale/500017220?insource=sale_list&top=21,南,三乡-雅居乐-,3室2厅,中山市三乡镇载德小学/满五年/房本在手,丽景城市广场 3室2厅111.15m²普通装修,85,7647元/㎡,简装
100㎡,1995年-2013年建,中层(共7层),/sale/502519920?insource=sale_list&top=22,东北,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满五年/房本在手,华丰花园8区 上学房！3室2厅100m²满五年，红本在手！必卖！,60,6000元/㎡,简装
100㎡,1992年-2008年建,高层(共7层),/sale/100583578?insource=sale_list&top=23,东南,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满五唯一,华丰花园9区  华丰商圈附近 楼下衣食住行便利 看房方便,68,6800元/㎡,简装
101㎡,2005年-2011年建,中层(共16层),/sale/500586067?insource=sale_list&top=24,东南,三乡-雅居乐-,3室2厅,中山市三乡镇雍陌小学/满五唯一/房本在手/电梯,"嘉美苑 3室2厅101m²普通装修,3房1卫,东南向",86,8515元/㎡,简装
93㎡,2010年建,中层(共9层),/sale/500348018?insource=sale_list&top=25,东北,三乡-雅居乐-,3室2厅,中山市三乡镇平岚小学/满五唯一,金天地花园 3室2厅93m²普通装修,100,10753元/㎡,简装
112㎡,2001年-2013年建,高层(共10层),/sale/501377991?insource=sale_list&top=26,南,三乡-雅居乐-,3室2厅,中山市三乡镇光后中心小学/随时看房/满五年/房本在手,"骏景新盛世 百载光后学校房,原有2卫,南,超便宜快联系我",100,8929元/㎡,简装
96.43㎡,2001年-2008年建,高层(共6层),/sale/500516734?insource=sale_list&top=27,南,三乡-雅居乐-,3室2厅,中山市三乡镇平岚小学/满五唯一,丽景嘉园一期 3室2厅96.43m²满五年,80,8296元/㎡,简装
112㎡,2005年建,中层(共7层),/sale/502961489?insource=sale_list&top=28,北,三乡-雅居乐-,3室2厅,中山市三乡镇鸦岗小学/满两年/房本在手,雅居乐花园1-3期 3室2厅112m²普通装修,95,8482元/㎡,简装
101㎡,2005年-2011年建,中层(共16层),/sale/502097023?insource=sale_list&top=29,东南,三乡-雅居乐-,3室2厅,中山市三乡镇雍陌小学/满五唯一/电梯,"嘉美苑 3室2厅101m²满五年,看房方便,红本在手.",78,7723元/㎡,简装
142㎡,1995年-2014年建,高层(共6层),/sale/500469335?insource=sale_list&top=30,南,三乡-雅居乐-,5室3厅,中山市三乡镇平岚小学/随时看房/满五年,宝龙花园 5室3厅142m²满五年,92,6479元/㎡,简装
95㎡,2002年建,中层(共7层),/sale/100503126?insource=sale_list&top=181,东北,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满五唯一,华丰花园7区 3室2厅1厨1卫 95.0m² 普通装修,70,7368元/㎡,简装
104㎡,2000年-2013年建,中层(共6层),/sale/502357328?insource=sale_list&top=182,南,三乡-金涌大道-,3室2厅,中山市三乡镇光后中心小学/满五年/房本在手,绿茵庭 3室2厅104m²普通装修,90,8654元/㎡,简装
90㎡,1999年-2014年建,高层(共7层),/sale/100517849?insource=sale_list&top=183,西南,三乡-金涌大道-,3室1厅,中山市三乡镇白石环小学/满五唯一,"吉雅花园 业主急售 精装3房, 价格美丽",63,7000元/㎡,简装
139㎡,2003年建,中层(共6层),/sale/500152646?insource=sale_list&top=184,南,三乡-三乡-,3室2厅,中山市三乡镇光后中心小学/满五年,建委小区 繁华地段 南北对通  业主真心出售 随时看房,90,6475元/㎡,简装
110㎡,2013年建,中层(共6层),/sale/501808041?insource=sale_list&top=185,北,三乡-雅居乐-,3室2厅,中山市三乡镇白石环小学/满五唯一/房本在手,君林水岸 3室2厅110m²满五年,90,8182元/㎡,简装
103㎡,1995年-2013年建,高层(共7层),/sale/500899827?insource=sale_list&top=186,南,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满五年,华丰花园8区 繁华地段 南北对通 送入户花园 业主真心出售,62,6019元/㎡,简装
91.5㎡,2005年-2011年建,高层(共16层),/sale/500203869?insource=sale_list&top=187,南,三乡-雅居乐-,3室2厅,中山市三乡镇雍陌小学/房本在手/电梯,嘉美苑 红本在手 ! ! 3室2厅91.5m²普通装修,85,9290元/㎡,简装
105㎡,1996年-2013年建,高层(共9层),/sale/100584074?insource=sale_list&top=188,南,三乡-文昌路-,3室2厅,中山市三乡镇载德小学/满五年/房本在手,宝之园 3室2厅1厨2卫 105.0m² 满五年,90,8571元/㎡,简装
93.17㎡,2007年-2015年建,低层(共15层),/sale/100572529?insource=sale_list&top=189,西南,三乡-雅居乐-,3室2厅,中山市三乡镇鸦岗小学/满两年/电梯,巴厘晓筑 3室2厅1厨1卫 93.17m² 普通装修,93,9982元/㎡,简装
91㎡,2005年-2011年建,中层(共16层),/sale/500353846?insource=sale_list&top=190,西北,三乡-雅居乐-,3室2厅,中山市三乡镇雍陌小学/电梯,"嘉美苑 红本在手,必卖好房,3室2厅91m²普通装修",76,8352元/㎡,简装
93㎡,1999年-2002年建,高层(共7层),/sale/502940243?insource=sale_list&top=191,南,三乡-雅居乐-,3室2厅,中山市三乡镇雍陌小学/满五年/房本在手,侨兴花园 3室2厅93m²满五年,58,6237元/㎡,简装
98㎡,2000年-2013年建,中层(共6层),/sale/500034579?insource=sale_list&top=192,南,三乡-金涌大道-,3室2厅,中山市三乡镇白石环小学/满两年,君怡花园 3室2厅98m²普通装修,75,7653元/㎡,简装
115㎡,2000年建,中层(共7层),/sale/502578522?insource=sale_list&top=193,西北,三乡-雅居乐-,3室2厅,中山市三乡镇载德小学/房本在手,丽景花园 3室2厅115m²普通装修,79,6870元/㎡,简装
97㎡,2002年-2017年建,中层(共6层),/sale/502533967?insource=sale_list&top=194,南,三乡-文昌路-,3室2厅,中山市三乡镇大布小学/满两年,家庆居 3室2厅97m²普通装修,88,9072元/㎡,简装
103㎡,2000年-2014年建,高层(共7层),/sale/100253312?insource=sale_list&top=151,西北,三乡-金涌大道-,3室2厅,中山市三乡镇光后中心小学/满五唯一,"雅豪苑 百载学校住房  首付低, 月供低,适合刚下客",68,6602元/㎡,简装
115㎡,2003年-2010年建,低层(共6层),/sale/100157465?insource=sale_list&top=152,西南,三乡-小琅环路-,3室2厅,中山市三乡镇载德小学/随时看房/满五唯一/房本在手,"绿盈轩 三乡中点位置，业主没税费,正南,",95,8261元/㎡,简装
111㎡,1998年-2016年建,高层(共7层),/sale/500110710?insource=sale_list&top=153,东南,三乡-雅居乐-,3室2厅,中山市三乡镇载德小学/满两年,丽景城市广场 东南向，健康楼层，大3房，带装修,80,7207元/㎡,简装
107㎡,2000年-2013年建,高层(共6层),/sale/100200384?insource=sale_list&top=154,西,三乡-金涌大道-,3室2厅,中山市三乡镇光后中心小学/满五唯一/房本在手,绿茵庭 业主诚意出售  小区位置处繁华地段  刚需优选,98,9159元/㎡,简装
98㎡,1993年-2013年建,低层(共7层),/sale/100535056?insource=sale_list&top=155,东北,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满五唯一/房本在手,华丰花园10区 特！售！精装3房2厅，光后学校！学房  ！,75,7653元/㎡,简装
100㎡,2000年-2014年建,高层(共7层),/sale/500183815?insource=sale_list&top=156,南,三乡-金涌大道-,3室2厅,中山市三乡镇光后中心小学/满五年,雅豪苑 繁华地段  低首付 送入户花园 ,85,8500元/㎡,简装
103㎡,2004年建,高层(共7层),/sale/100573392?insource=sale_list&top=157,东北,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满五唯一,金乡居二期 精致装修 格局方正 采光足 家电家私齐全 拎包入住,85,8252元/㎡,简装
105㎡,2001年-2013年建,中层(共6层),/sale/500924292?insource=sale_list&top=158,南,三乡-雅居乐-,3室2厅,中山市三乡镇光后中心小学/满两年/房本在手,骏景新盛世  业主真心出售 随时看房,98,9333元/㎡,简装
97㎡,2000年-2016年建,低层(共27层),/sale/100587867?insource=sale_list&top=159,南,三乡-三乡-,3室2厅,中山市三乡镇鸦岗小学/随时看房/满两年/电梯,雅居乐悦景园 电梯中层，带装修，朝南，可拎包入住，业主诚心出售,100,10309元/㎡,简装
106.82㎡,2000年建,中层(共6层),/sale/100534906?insource=sale_list&top=160,西北,三乡-文昌路-,3室3厅,中山市三乡镇光后中心小学/满五唯一/房本在手,华丰花园6区 普通装修 格局方正 采光足 家电家私齐全 拎包入住,95,8893元/㎡,简装
98.8㎡,,中层(共9层),/sale/500074165?insource=sale_list&top=161,东,三乡-雅居乐-,3室2厅,中山市三乡镇鸦岗小学/满两年/电梯,"雅居乐中心城 三乡镇中,中高楼层,红本在手,欢迎品鉴",100,10121元/㎡,简装
107.38㎡,2004年建,高层(共6层),/sale/502171647?insource=sale_list&top=162,东,三乡-三乡-,3室2厅,中山市三乡镇光后中心小学/满五唯一,供销新村 3室2厅107.38m²满五年,68,6333元/㎡,简装
96.6㎡,2002年-2017年建,高层(共6层),/sale/500018730?insource=sale_list&top=163,南,三乡-文昌路-,3室2厅,中山市三乡镇大布小学/满五年,家庆居 3室2厅1厨2卫 96.6m² 普通装修,90,9317元/㎡,简装
91.77㎡,2000年-2014年建,低层(共7层),/sale/100534389?insource=sale_list&top=164,西北,三乡-金涌大道-,3室2厅,中山市三乡镇光后中心小学/满五年/房本在手,雅豪苑 格局方正 采光足 家电家私齐全 拎包入住,75,8173元/㎡,简装
92㎡,1993年-2013年建,中层(共7层),/sale/100479264?insource=sale_list&top=165,北,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满五唯一,华丰花园10区  随时看房  高档小区送10方使用面积,60,6522元/㎡,简装
140㎡,2001年-2013年建,高层(共6层),/sale/502986732?insource=sale_list&top=166,南北,三乡-雅居乐-,3室2厅,中山市三乡镇光后中心小学/随时看房/满两年,骏景新盛世 3室2厅140m²普通装修,96,6857元/㎡,简装
101㎡,2005年-2011年建,高层(共16层),/sale/500607191?insource=sale_list&top=167,东南,三乡-雅居乐-,3室2厅,中山市三乡镇雍陌小学/电梯,嘉美苑 好房必卖 ! ! 3室2厅101m²普通装修,86,8515元/㎡,简装
92㎡,1993年-2013年建,高层(共7层),/sale/100258503?insource=sale_list&top=168,西北,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满两年/房本在手,华丰花园10区 随时看房 高档小区  价钱好谈 繁华地段,68,7391元/㎡,简装
115㎡,2008年建,高层(共5层),/sale/500329566?insource=sale_list&top=169,南,三乡-三乡-,4室2厅,中山市三乡镇雍陌小学/满五唯一/房本在手,顺景楼 拎包入住！精装4房2厅，红本在手！,78,6783元/㎡,简装
120㎡,2001年-2013年建,中层(共6层),/sale/100521863?insource=sale_list&top=170,北,三乡-雅居乐-,3室2厅,中山市三乡镇光后中心小学/随时看房/满五唯一,骏景新盛世 繁华地段 南北对通 低首付 送入户花园,100,8333元/㎡,简装
105㎡,1989年-2013年建,高层(共5层),/sale/500328174?insource=sale_list&top=171,西,三乡-雅居乐-,3室2厅,中山市三乡镇新圩小学/满五年,仙景山庄 3室2厅105m²满五年,95,9048元/㎡,简装
120㎡,1998年-2008年建,中层(共7层),/sale/502297427?insource=sale_list&top=172,东,三乡-金涌大道-,3室2厅,中山市三乡镇光后中心小学/满两年,教师村 3室2厅120m²普通装修,85,7083元/㎡,简装
103.67㎡,1999年-2014年建,高层(共7层),/sale/500583397?insource=sale_list&top=173,东北,三乡-金涌大道-,3室2厅,中山市三乡镇白石环小学/满两年,吉雅花园 3室2厅103.67m²普通装修,70,6752元/㎡,简装
130㎡,2000年建,高层(共6层),/sale/500597219?insource=sale_list&top=174,西南,三乡-金涌大道-,3室2厅,中山市三乡镇初级中学/满五唯一,三鑫教师村 3室2厅130m²满五年,100,7692元/㎡,简装
106.38㎡,1999年-2002年建,中层(共7层),/sale/502929326?insource=sale_list&top=175,南,三乡-雅居乐-,3室2厅,中山市三乡镇雍陌小学/满五年/房本在手,侨兴花园 3室2厅106.38m²满五年,65,6110元/㎡,简装
106㎡,2013年建,高层(共7层),/sale/500592937?insource=sale_list&top=176,南,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满五年/房本在手,华丰花园5区 3室2厅106m²普通装修,75,7075元/㎡,简装
90.27㎡,2014年建,低层(共11层),/sale/500500434?insource=sale_list&top=177,东,三乡-小琅环路-,3室2厅,中山市三乡镇大布小学/满五年/电梯,大翼龙苑二期 普通装修 ！ 3室2厅 红本在手,95,10524元/㎡,简装
100.15㎡,1995年-2013年建,高层(共7层),/sale/501357475?insource=sale_list&top=178,南,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满两年/房本在手,华丰花园8区 繁华地段 南北对通 送入户花园 业主真心出售,51,5092元/㎡,简装
100㎡,1992年-2008年建,低层(共7层),/sale/500317389?insource=sale_list&top=179,东南,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满五年/房本在手,华丰花园9区 红本在手！100方3房满5年，看房方便！,73,7300元/㎡,简装
112㎡,2001年建,高层(共6层),/sale/100574343?insource=sale_list&top=180,东南,三乡-雅居乐-,3室2厅,中山市三乡镇平岚小学/满五唯一/房本在手,怡福阳光花园A区 标准3房 精装修保养好 价格实惠,95,8482元/㎡,简装
110.26㎡,1999年-2002年建,高层(共6层),/sale/501399451?insource=sale_list&top=61,东北,三乡-雅居乐-,3室2厅,中山市三乡镇雍陌小学/满五年/房本在手,侨兴花园 3室2厅110.26m²普通装修,86,7800元/㎡,简装
116㎡,1995年-2014年建,中层(共11层),/sale/502343680?insource=sale_list&top=62,南,三乡-雅居乐-,3室2厅,中山市三乡镇平岚小学/满五唯一/房本在手,宝龙花园 95 万元 宝龙花园 普通装修 3室2厅 116m,95,8190元/㎡,简装
96.87㎡,2018年-2019年建,低层(共10层),/sale/502485471?insource=sale_list&top=63,南,三乡-三乡-,3室2厅,中山市三乡镇新圩小学/满两年,美的澜山(澜山居) 必卖！8千多一平方！全新！3室2厅！必卖！,95,9807元/㎡,简装
103㎡,2001年-2013年建,高层(共6层),/sale/502388743?insource=sale_list&top=64,东,三乡-雅居乐-,3室2厅,中山市三乡镇光后中心小学/满五唯一/房本在手,骏景新盛世 随时看房 高档小区  价钱好谈 繁华地段,68,6602元/㎡,简装
95㎡,2000年建,中层(共6层),/sale/502453539?insource=sale_list&top=65,西北,三乡-金涌大道-,3室2厅,中山市三乡镇初级中学/,三鑫教师村 3室2厅95m²普通装修,75,7895元/㎡,简装
100㎡,2001年-2015年建,低层(共22层),/sale/502714468?insource=sale_list&top=66,东,三乡-雅居乐-,3室2厅,中山市三乡镇平岚小学/满五唯一/电梯,半山午后 3室2厅100m²满五年,85,8500元/㎡,简装
91㎡,2007年-2015年建,中层(共11层),/sale/502936288?insource=sale_list&top=67,东南,三乡-雅居乐-,3室2厅,中山市三乡镇鸦岗小学/房本在手,巴厘晓筑 3室2厅91m²普通装修,80,8791元/㎡,简装
103㎡,2010年-2013年建,高层(共6层),/sale/502596337?insource=sale_list&top=68,西,三乡-三乡-,4室0厅,中山市三乡镇大布小学/随时看房/满五年/房本在手,三乡综合市场 4室0厅103m²满五年,72,6990元/㎡,简装
95㎡,2013年建,中层(共32层),/sale/502846990?insource=sale_list&top=69,西北,三乡-雅居乐-,3室2厅,中山市三乡镇鸦岗小学/满五唯一/房本在手/电梯,雅居乐万象郡一期 3室2厅95m²满五年,98,10316元/㎡,简装
109.56㎡,2005年-2009年建,中层(共7层),/sale/503003903?insource=sale_list&top=70,北,三乡-雅居乐-,3室2厅,中山市三乡镇平岚小学/满五年,富和凯悦名门 3室2厅109.56m²满五年,90,8215元/㎡,简装
116㎡,2005年建,高层(共7层),/sale/501320846?insource=sale_list&top=71,西南,三乡-雅居乐-,3室2厅,中山市三乡镇鸦岗小学/满五年,雅居乐花园1-3期 3室2厅116m²满五年,75,6466元/㎡,简装
90㎡,1996年-2015年建,中层(共11层),/sale/502901625?insource=sale_list&top=72,西北,三乡-文昌路-,3室2厅,中山市三乡镇载德小学/满五唯一,皇冠花园 3室2厅90m²满五年,83,9222元/㎡,简装
93㎡,1996年-2015年建,低层(共12层),/sale/502495730?insource=sale_list&top=73,东南,三乡-文昌路-,3室2厅,中山市三乡镇载德小学/满五唯一/房本在手,皇冠花园 3室2厅93m²满五年,85,9140元/㎡,简装
101㎡,2010年-2013年建,高层(共6层),/sale/502153798?insource=sale_list&top=74,西北,三乡-三乡-,3室2厅,中山市三乡镇大布小学/满两年,三乡综合市场 3室2厅101m²普通装修,65,6436元/㎡,简装
93㎡,,中层(共11层),/sale/502430660?insource=sale_list&top=75,东北,三乡-雅居乐-,3室2厅,中山市三乡镇鸦岗小学/随时看房/满五唯一/房本在手/电梯,雅居乐中心城 3室2厅93m²普通装修,97,10430元/㎡,简装
100㎡,2000年-2014年建,中层(共7层),/sale/502900615?insource=sale_list&top=76,西北,三乡-金涌大道-,3室2厅,中山市三乡镇光后中心小学/满两年,雅豪苑 3室2厅100m²普通装修,85,8500元/㎡,简装
112㎡,1999年-2014年建,低层(共6层),/sale/502609374?insource=sale_list&top=77,西北,三乡-金涌大道-,3室2厅,中山市三乡镇白石环小学/满五唯一,吉雅花园 3室2厅112m²满五年,80,7143元/㎡,简装
108㎡,2002年建,高层(共6层),/sale/502893506?insource=sale_list&top=78,东南,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/,东一居 3室2厅108m²普通装修,88,8148元/㎡,简装
113.62㎡,2005年建,高层(共7层),/sale/501306790?insource=sale_list&top=79,南,三乡-雅居乐-,3室2厅,中山市三乡镇鸦岗小学/满五年/房本在手,雅居乐花园1-3期 3室2厅113.62m²满五年,58,5105元/㎡,简装
92㎡,2007年-2012年建,中层(共11层),/sale/501662659?insource=sale_list&top=80,东北,三乡-三乡-,3室2厅,中山市三乡镇平岚小学/随时看房/满两年/电梯,东峻华庭 2室2厅92m²普通装修,85,9239元/㎡,简装
101.3㎡,2006年建,高层(共6层),/sale/502394285?insource=sale_list&top=81,北,三乡-小琅环路-,3室2厅,中山市三乡镇大布小学/满五年,华兴居 3室2厅101.3m²普通装修,62,6120元/㎡,简装
100.66㎡,1992年-2001年建,高层(共7层),/sale/500096242?insource=sale_list&top=82,西南,三乡-小琅环路-,3室2厅,中山市三乡镇载德小学/,嘉豪山庄 拎包入住！ 3室2厅2卫100.6m²普通装修,55,5464元/㎡,简装
118.17㎡,2019年建,中层(共12层),/sale/500899831?insource=sale_list&top=83,南,三乡-三乡-,3室2厅,中山市三乡镇光后中心小学/满五年/房本在手,林屋门前  南北对通送入户花园 业主真心出售 随时看房,85,7193元/㎡,简装
99.75㎡,2005年建,低层(共6层),/sale/500554536?insource=sale_list&top=84,北,三乡-雅居乐-,3室2厅,中山市三乡镇雍陌小学/满两年,泰兴楼 2室2厅0厨0卫 99.75m² 普通装修,65,6516元/㎡,简装
105㎡,2001年-2013年建,高层(共6层),/sale/502431446?insource=sale_list&top=85,南,三乡-雅居乐-,3室2厅,中山市三乡镇光后中心小学/满五年/房本在手,骏景新盛世  繁华地段 南北对通 低首付 送入户花园,85,8095元/㎡,简装
100㎡,2013年建,高层(共7层),/sale/100264213?insource=sale_list&top=86,西南,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/随时看房/满五年,"华丰花园4区 惊喜！ 精装3房2厅,红本在手!",52,5200元/㎡,简装
101.02㎡,1992年-2008年建,高层(共7层),/sale/100534074?insource=sale_list&top=87,西南,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/随时看房/满五年,华丰花园9区 3房家私家电齐全 拎包入住,70,6929元/㎡,简装
101㎡,2005年-2011年建,中层(共16层),/sale/502822941?insource=sale_list&top=88,东南,三乡-雅居乐-,3室2厅,中山市三乡镇雍陌小学/满五唯一/房本在手/电梯,嘉美苑 普通装修 ! 3室2厅101m² ! 红本在手,80,7921元/㎡,简装
100㎡,2003年-2010年建,高层(共6层),/sale/100251152?insource=sale_list&top=89,北,三乡-小琅环路-,3室2厅,中山市三乡镇载德小学/满五唯一/房本在手,绿盈轩 载德学校，大三房，拎包入住,77,7700元/㎡,简装
109㎡,2000年建,高层(共7层),/sale/100551113?insource=sale_list&top=90,南,三乡-雅居乐-,3室2厅,中山市三乡镇载德小学/满两年,丽景花园 3室2厅1厨2卫 新装修业主急售 78万,81,7431元/㎡,简装
109㎡,2005年建,高层(共6层),/sale/502242012?insource=sale_list&top=31,西,三乡-雅居乐-,3室2厅,中山市三乡镇鸦岗小学/满五唯一/房本在手,平东吉雅苑 3室2厅109m²普通装修,30,2752元/㎡,简装
98㎡,1993年-2013年建,中层(共7层),/sale/500327548?insource=sale_list&top=32,北,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满五年/房本在手,华丰花园10区 特！售！精装3房2厅，诚意出售！拎包入住！,76,7755元/㎡,简装
91.14㎡,2005年建,高层(共23层),/sale/501690542?insource=sale_list&top=33,东北,三乡-雅居乐-,3室2厅,中山市三乡镇光后中心小学/满两年/电梯,雅居乐酒店 3室2厅  91.14m ²   普通装修,73,8010元/㎡,简装
98.5㎡,1993年-2013年建,中层(共7层),/sale/500881691?insource=sale_list&top=34,西,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满五唯一/房本在手,华丰花园10区 交通便利，    出行方便,61,6193元/㎡,简装
117㎡,2005年建,高层(共7层),/sale/500327599?insource=sale_list&top=35,东北,三乡-雅居乐-,3室2厅,中山市三乡镇鸦岗小学/随时看房/满两年/房本在手,"雅居乐花园1-3期 雅居乐精装三房,可租可自住",95,8120元/㎡,简装
111㎡,2005年-2009年建,高层(共6层),/sale/501491600?insource=sale_list&top=36,南,三乡-雅居乐-,3室2厅,中山市三乡镇平岚小学/满五年/电梯,富和凯悦名门 3室2厅111m²满五年,85,7658元/㎡,简装
90㎡,2005年建,高层(共7层),/sale/502441496?insource=sale_list&top=37,南,三乡-雅居乐-,3室2厅,中山市三乡镇鸦岗小学/,雅居乐花园1-3期 3室2厅86m²普通装修,68,7556元/㎡,简装
94.93㎡,2000年建,低层(共6层),/sale/500589731?insource=sale_list&top=38,东,三乡-金涌大道-,3室2厅,中山市三乡镇初级中学/满五唯一/房本在手,三鑫教师村 3室2厅94.93m²满五年,67,7058元/㎡,简装
110.2㎡,1996年-2013年建,中层(共5层),/sale/500505186?insource=sale_list&top=39,北,三乡-文昌路-,3室2厅,中山市三乡镇大布小学/满五年,"绿榕居 三乡繁华地段,小区安静,管理严格",85,7713元/㎡,简装
95.96㎡,2008年建,中层(共6层),/sale/502275529?insource=sale_list&top=40,北,三乡-雅居乐-,4室2厅,中山市三乡镇平岚小学/满两年,嘉园2期 4室2厅95.96m²普通装修,88,9170元/㎡,简装
110㎡,1998年-2016年建,中层(共7层),/sale/500102203?insource=sale_list&top=41,东北,三乡-雅居乐-,3室2厅,中山市三乡镇载德小学/满两年/房本在手,丽景城市广场 3室2厅1厨2卫 110.0m² 普通装修,90,8182元/㎡,简装
