area,date,floor,link,orientation,pos,style,tag,title,total_price,unit_price,zx_type
90㎡,2005年-2020年建,高层(共33层),/sale/500596660?insource=sale_list&top=14&optimalType=optimization,西北,三乡-雅居乐-,3室2厅,随时看房/满五唯一/电梯,雅居乐万象郡二期 3室2厅90m²满五年,87,9667元/㎡,毛坯
105.26㎡,1996年-2013年建,中层(共9层),/sale/501385209?insource=sale_list&top=15&optimalType=optimization,南,三乡-文昌路-,3室2厅,满两年,宝之园 3室2厅105.26m²精装修,95,9025元/㎡,精装
87.92㎡,2001年-2013年建,高层(共6层),/sale/100280171?insource=sale_list&top=16&optimalType=optimization,北,三乡-雅居乐-,3室2厅,中山市三乡镇光后中心小学/满五年,骏景新盛世   繁华地段 南北对通 低首付 送入户花园 ,60,6824元/㎡,简装
91.2㎡,2012年建,中层(共25层),/sale/100515181?insource=sale_list&top=17&optimalType=optimization,西南,三乡-三乡-,3室2厅,中山市三乡镇鸦岗小学/随时看房/满两年/电梯,润颐居二期 2室2厅1厨1卫 91.0m² 毛坯,98,10746元/㎡,毛坯
87㎡,2005年-2020年建,高层(共33层),/sale/502336577?insource=sale_list&top=18&optimalType=optimization,东北,三乡-雅居乐-,3室2厅,随时看房/电梯,雅居乐万象郡二期 3室2厅87m²精装修,88,10115元/㎡,精装
116.9㎡,2003年-2010年建,中层(共6层),/sale/100579269?insource=sale_list&top=19,南,三乡-小琅环路-,3室2厅,满五唯一,绿盈轩 精致装修3房 楼梯中层 保养好,93,7956元/㎡,精装
91㎡,2010年-2019年建,低层(共32层),/sale/501035337?insource=sale_list&top=20,南,三乡-三乡-,3室2厅,随时看房/满两年/电梯,畔山中心城 3室2厅91m²毛坯,100,10989元/㎡,毛坯
129.03㎡,2013年建,低层(共11层),/sale/501359890?insource=sale_list&top=21,东北,三乡-雅居乐-,4室2厅,满五唯一/房本在手,君林水岸 电梯精装修，方正采光好，单价才7300多点点，超值,95,7363元/㎡,精装
87㎡,2005年-2020年建,中层(共33层),/sale/500230247?insource=sale_list&top=22,东北,三乡-雅居乐-,3室2厅,随时看房/满五年/电梯,雅居乐万象郡二期 雅居乐万象郡二期3室2厅87m²满五年,90,10345元/㎡,毛坯
105㎡,2005年-2008年建,中层(共7层),/sale/500484172?insource=sale_list&top=23,东南,三乡-文昌路-,3室2厅,中山市三乡镇光后中心小学/满五唯一/房本在手,华丰花园2区 华丰花园3室2厅105m²满五年,85,8095元/㎡,精装
111.52㎡,2001年建,中层(共11层),/sale/500873148?insource=sale_list&top=24,北,三乡-雅居乐-,3室2厅,中山市三乡镇平岚小学/,怡福阳光花园B区 3室毛坯房，格局方正，毛坯房给您更多的自由装修空间,94,8429元/㎡,毛坯
93㎡,2005年-2019年建,低层(共24层),/sale/500262005?insource=sale_list&top=25,南,三乡-三乡-,3室2厅,满两年/电梯,鼎威花园 住家非常的方便，小区户型方正，采光通风都很好,98,10538元/㎡,毛坯
89㎡,2005年-2014年建,低层(共18层),/sale/500322028?insource=sale_list&top=26,北,三乡-金涌大道-,3室2厅,随时看房/满五唯一/房本在手/电梯,中恒海晖园 电梯低层3室2厅满五年，带装修,93,10449元/㎡,精装
91.14㎡,2005年建,高层(共23层),/sale/501690542?insource=sale_list&top=27,东北,三乡-雅居乐-,3室2厅,中山市三乡镇光后中心小学/满两年/电梯,雅居乐酒店 3室2厅  91.14m ²   普通装修,73,8010元/㎡,简装
89㎡,1990年-2019年建,高层(共33层),/sale/501501388?insource=sale_list&top=28,北,三乡-三乡-,3室2厅,随时看房/满两年/电梯,雅居乐万象郡3期 3室2厅91m²精装修,98,11011元/㎡,精装
88㎡,2015年-2017年建,中层(共9层),/sale/501846998?insource=sale_list&top=29,北,三乡-雅居乐-,3室2厅,满两年,瑞信美域 3室2厅88m²毛坯,86,9773元/㎡,毛坯
79.59㎡,,高层(共15层),/sale/502587190?insource=sale_list&top=30,西南,三乡-雅居乐-,3室2厅,中山市三乡镇载德小学/满五唯一/房本在手/电梯,幸福湾2期 3室2厅79.59m²满五年,85,10680元/㎡,精装
